size,sex,category,fit,w,h
L,남성,상의,보통이에요,65,181
L,남성,상의,커요,69,175
L,남성,상의,보통이에요,76,170
L,남성,상의,보통이에요,80,180
L,남성,상의,커요,65,175
L,남성,상의,보통이에요,70,173
L,남성,상의,보통이에요,75,177
L,남성,상의,커요,70,176
L,여성,상의,커요,57,170
L,여성,상의,커요,60,168
L,여성,상의,보통이에요,70,167
L,남성,상의,보통이에요,82,179
L,남성,상의,보통이에요,70,180
L,남성,상의,보통이에요,62,178
L,남성,상의,보통이에요,75,175
L,남성,상의,보통이에요,78,177
L,여성,상의,보통이에요,70,167
L,남성,상의,보통이에요,68,175
L,여성,상의,보통이에요,60,170
L,남성,상의,보통이에요,65,178
L,남성,상의,보통이에요,75,177
L,여성,상의,보통이에요,65,164
L,남성,상의,보통이에요,70,171
L,남성,상의,보통이에요,72,168
L,남성,상의,보통이에요,72,168
L,남성,상의,보통이에요,70,171
L,남성,상의,보통이에요,63,171
L,남성,상의,보통이에요,78,171
L,남성,상의,보통이에요,78,171
L,남성,상의,보통이에요,79,178
L,남성,상의,커요,90,178
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,73,180
L,남성,상의,커요,70,173
L,남성,상의,보통이에요,78,185
L,남성,상의,보통이에요,76,172
L,여성,상의,커요,55,167
L,남성,상의,보통이에요,60,172
L,여성,상의,보통이에요,55,167
L,남성,상의,커요,76,178
L,남성,상의,커요,77,177
L,남성,상의,보통이에요,77,182
L,남성,상의,보통이에요,86,178
L,남성,상의,보통이에요,80,180
L,여성,상의,보통이에요,25,120
L,남성,상의,보통이에요,86,180
L,남성,상의,보통이에요,68,176
L,남성,상의,보통이에요,85,170
L,남성,상의,커요,70,170
L,남성,상의,보통이에요,72,176
L,남성,상의,보통이에요,61,174
L,남성,상의,작아요,80,178
L,남성,상의,보통이에요,68,176
L,남성,상의,보통이에요,68,176
L,남성,상의,보통이에요,69,178
L,남성,상의,작아요,80,175
L,남성,상의,보통이에요,81,185
L,남성,상의,작아요,80,175
L,여성,상의,보통이에요,62,165
L,남성,상의,보통이에요,68,174
L,남성,상의,보통이에요,68,175
L,남성,상의,보통이에요,75,174
L,남성,상의,보통이에요,83,178
L,여성,상의,커요,58,169
L,남성,상의,커요,75,183
L,남성,상의,보통이에요,75,182
L,남성,상의,보통이에요,68,178
L,남성,상의,보통이에요,75,180
L,여성,상의,보통이에요,54,163
L,남성,상의,커요,75,183
L,남성,상의,보통이에요,60,180
L,남성,상의,커요,59,175
L,남성,상의,보통이에요,73,168
L,남성,상의,보통이에요,75,180
L,여성,상의,커요,59,170
L,여성,상의,보통이에요,67,153
L,남성,상의,보통이에요,70,180
L,남성,상의,보통이에요,70,173
L,남성,상의,보통이에요,73,175
L,남성,상의,보통이에요,75,180
L,남성,상의,보통이에요,69,177
L,남성,상의,보통이에요,65,175
L,남성,상의,보통이에요,72,173
L,남성,상의,보통이에요,72,173
L,남성,상의,보통이에요,85,181
L,남성,상의,보통이에요,60,171
L,남성,상의,보통이에요,83,180
L,남성,상의,커요,63,171
L,남성,상의,보통이에요,66,181
L,남성,상의,보통이에요,72,178
L,남성,상의,보통이에요,72,178
L,남성,상의,보통이에요,64,183
L,남성,상의,보통이에요,78,180
L,남성,상의,보통이에요,52,171
L,남성,상의,커요,75,174
L,남성,상의,보통이에요,70,175
L,남성,상의,보통이에요,66,179
L,남성,상의,보통이에요,71,178
L,남성,상의,커요,65,174
L,남성,상의,작아요,77,178
L,남성,상의,보통이에요,66,179
L,남성,상의,보통이에요,77,178
L,남성,상의,커요,72,172
L,남성,상의,커요,78,178
L,남성,상의,보통이에요,72,172
L,남성,상의,보통이에요,65,183
L,남성,상의,보통이에요,70,180
L,남성,상의,보통이에요,70,180
L,남성,상의,보통이에요,78,178
L,남성,상의,보통이에요,69,174
L,남성,상의,보통이에요,80,175
L,남성,상의,보통이에요,68,169
L,남성,상의,보통이에요,80,175
L,남성,상의,보통이에요,69,174
L,남성,상의,보통이에요,72,177
L,남성,상의,보통이에요,58,170
L,남성,상의,보통이에요,70,177
L,남성,상의,작아요,68,169
L,남성,상의,보통이에요,77,178
L,남성,상의,보통이에요,77,181
L,남성,상의,커요,82,187
L,남성,상의,커요,77,179
L,남성,상의,보통이에요,82,187
L,남성,상의,보통이에요,62,172
L,여성,상의,보통이에요,63,170
L,남성,상의,보통이에요,79,181
L,남성,상의,보통이에요,80,175
L,남성,상의,커요,75,171
L,남성,상의,보통이에요,65,174
L,여성,상의,보통이에요,51,161
L,남성,상의,커요,65,177
L,남성,상의,보통이에요,78,175
L,남성,상의,커요,84,180
L,남성,상의,보통이에요,83,188
L,여성,상의,보통이에요,53,170
L,남성,상의,작아요,69,184
L,남성,상의,보통이에요,68,170
L,남성,상의,보통이에요,69,177
L,남성,상의,보통이에요,64,176
L,남성,상의,보통이에요,68,174
L,남성,상의,보통이에요,68,170
L,남성,상의,보통이에요,74,180
L,여성,상의,커요,58,170
L,남성,상의,보통이에요,67,172
L,남성,상의,보통이에요,69,170
L,여성,상의,보통이에요,57,173
L,남성,상의,보통이에요,77,179
L,남성,상의,보통이에요,82,177
L,남성,상의,보통이에요,83,176
L,남성,상의,보통이에요,76,182
L,남성,상의,보통이에요,68,173
L,남성,상의,보통이에요,67,173
L,남성,상의,커요,74,177
L,남성,상의,보통이에요,70,183
L,남성,상의,커요,72,182
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,54,170
L,여성,상의,커요,48,160
L,남성,상의,커요,70,172
L,남성,상의,보통이에요,67,171
L,남성,상의,보통이에요,75,181
L,여성,상의,보통이에요,53,165
L,남성,상의,보통이에요,85,174
L,남성,상의,커요,74,174
L,남성,상의,보통이에요,75,170
L,남성,상의,보통이에요,85,174
L,남성,상의,보통이에요,66,175
L,남성,상의,보통이에요,67,171
L,남성,상의,보통이에요,80,180
L,남성,상의,보통이에요,65,178
